Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
114,Wednesday Aug 9,boxscore,BOS,,KCR,W,4,3,,59-55,4,11.0,Pivetta,Lyles,Jansen,2:24,N,35495,.48,+,
115,Thursday Aug 10,boxscore,BOS,,KCR,W,2,0,,60-55,4,11.0,Paxton,Marsh,Jansen,2:44,N,31952,.52,++,
116,Friday Aug 11,boxscore,BOS,,DET,W,5,2,,61-55,4,10.0,Barraclough,Skubal,Murphy,2:35,N,32647,.59,+++,
117,Saturday Aug 12,boxscore,BOS,,DET,L,2,6,,61-56,4,11.0,Manning,Bello,Foley,3:03,D,35927,.66,-,
118,Sunday Aug 13,boxscore,BOS,,DET,W,6,3,,62-56,4,11.0,Whitlock,Rodríguez,Jansen,2:30,D,35145,.59,+,
119,Tuesday Aug 15,boxscore,BOS,@,WSN,W,5,4,,63-56,4,10.5,Schreiber,Gray,Jansen,2:57,N,23516,.67,++,
120,Wednesday Aug 16,boxscore,BOS,@,WSN,L,2,6,,63-57,4,10.5,Ferrer,Whitlock,,2:32,N,26507,.74,-,
121,Thursday Aug 17,boxscore,BOS,@,WSN,L,7,10,,63-58,4,11.0,Corbin,Sale,Finnegan,2:50,D,25445,.66,--,
122,Friday Aug 18,boxscore,BOS,@,NYY,W,8,3,,64-58,4,11.0,Bello,Brito,,2:46,N,44566,.60,+,
123,Saturday Aug 19,boxscore,BOS,@,NYY,W,8,1,,65-58,4,11.0,Crawford,Cole,,2:38,D,42599,.68,++,
124,Sunday Aug 20,boxscore,BOS,@,NYY,W,6,5,,66-58,4,11.0,Martin,Holmes,Jansen,3:08,D,43946,.75,+++,
125,Monday Aug 21,boxscore,BOS,@,HOU,L,4,9,,66-59,4,11.5,Javier,Paxton,,3:12,N,31590,.97,-,
126,Tuesday Aug 22,boxscore,BOS,@,HOU,L,3,7,,66-60,4,11.5,Verlander,Houck,,2:53,N,33042,.81,--,
127,Wednesday Aug 23,boxscore,BOS,@,HOU,W,7,5,10,67-60,4,11.5,Pivetta,Graveman,Winckowski,3:37,N,37144,.71,+,
128,Thursday Aug 24,boxscore,BOS,@,HOU,W,17,1,,68-60,4,11.5,Bello,France,,3:11,D,35323,.88,++,
129,Friday Aug 25,boxscore,BOS,,LAD,L,4,7,,68-61,4,12.5,Lynn,Pivetta,Phillips,2:59,N,35653,.81,-,
130,Saturday Aug 26,boxscore,BOS,,LAD,W,8,5,,69-61,4,12.5,Bernardino,Urías,Schreiber,2:59,D,35986,.80,+,
